194 18721
Sommets du graphe
87 0.493957 0.717172 sommet88
88 0.496533 0.224829 sommet89
89 0.501486 0.185728 sommet90
90 0.507034 0.645161 sommet91
91 0.514563 0.739980 sommet92
92 0.520507 0.698925 sommet93
93 0.522291 0.202020 sommet94
94 0.524272 0.723363 sommet95
95 0.529423 0.711958 sommet96
96 0.530612 0.743239 sommet97
97 0.532594 0.093842 sommet98
98 0.532594 0.232975 sommet99
99 0.534377 0.842946 sommet100
100 0.536754 0.250896 sommet101
101 0.543689 0.557836 sommet102
102 0.558946 0.630824 sommet103
103 0.559937 0.246986 sommet104
104 0.563899 0.752688 sommet105
105 0.568853 0.728250 sommet106
106 0.571627 0.780384 sommet107
107 0.571825 0.782014 sommet108
108 0.579156 0.459759 sommet109
109 0.583911 0.842294 sommet110
110 0.584308 0.225481 sommet111
111 0.589459 0.844249 sommet112
112 0.597186 0.451287 sommet113
113 0.614226 0.381883 sommet114
114 0.614821 0.831215 sommet115
115 0.623539 0.806777 sommet116
116 0.640182 0.801564 sommet117
117 0.643154 0.710329 sommet118
118 0.655241 0.478332 sommet119
119 0.667327 0.867058 sommet120
120 0.669110 0.823721 sommet121
121 0.676045 0.579668 sommet122
122 0.679413 0.959596 sommet123
123 0.684763 0.967742 sommet124
124 0.690707 0.332356 sommet125
125 0.691302 0.341479 sommet126
126 0.695265 0.278592 sommet127
127 0.703586 0.915933 sommet128
128 0.715276 0.800587 sommet129
129 0.715871 0.180841 sommet130
130 0.720428 0.738025 sommet131
131 0.725381 0.296839 sommet132
132 0.730335 0.840665 sommet133
133 0.732911 0.300749 sommet134
134 0.735288 0.801238 sommet135
135 0.745393 0.753991 sommet136
136 0.756093 0.344738 sommet137
137 0.762037 0.430107 sommet138
138 0.766990 0.452590 sommet139
139 0.769170 0.325187 sommet140
140 0.771349 0.561421 sommet141
141 0.773925 0.358423 sommet142
142 0.778086 0.819485 sommet143
143 0.784228 0.515151 sommet144
144 0.785813 0.312805 sommet145
145 0.790569 0.371456 sommet146
146 0.791163 0.624308 sommet147
147 0.791163 0.791463 sommet148
148 0.797702 0.351906 sommet149
149 0.798494 0.514826 sommet150
150 0.801466 0.689801 sommet151
151 0.801862 0.576735 sommet152
152 0.807807 0.533398 sommet153
153 0.809392 0.491039 sommet154
154 0.812958 0.726947 sommet155
155 0.821478 0.273705 sommet156
156 0.824450 0.510264 sommet157
157 0.841688 0.669599 sommet158
158 0.848227 0.641251 sommet159
159 0.853378 0.809058 sommet160
160 0.857143 0.351906 sommet161
161 0.858332 0.683936 sommet162
162 0.862691 0.362007 sommet163
163 0.863087 0.390355 sommet164
164 0.869031 0.606061 sommet165
165 0.880919 0.742913 sommet166
166 0.881117 0.658521 sommet167
167 0.893006 0.619094 sommet168
168 0.898950 0.371782 sommet169
169 0.904696 0.664712 sommet170
170 0.908262 0.704138 sommet171
171 0.916584 0.410557 sommet172
172 0.916584 0.469208 sommet173
173 0.916782 0.465950 sommet174
174 0.916782 0.508635 sommet175
175 0.927680 0.340502 sommet176
176 0.928472 0.566960 sommet177
177 0.928671 0.622678 sommet178
178 0.928869 0.433040 sommet179
179 0.932039 0.644510 sommet180
180 0.940757 0.577061 sommet181
181 0.946107 0.371782 sommet182
182 0.947494 0.469534 sommet183
183 0.947890 0.534376 sommet184
184 0.948484 0.697947 sommet185
185 0.952447 0.446399 sommet186
186 0.963939 0.462691 sommet187
187 0.969883 0.560769 sommet188
188 0.976025 0.527859 sommet189
189 0.980979 0.472141 sommet190
190 0.980979 0.535028 sommet191
191 0.987914 0.527859 sommet192
192 0.987914 0.625611 sommet193
193 1.000000 0.400456 sommet194
Arêtes du graphe : noeud1 noeud2 valeur
0 193 1427.000000
0 192 1459.000000
0 191 1435.000000
0 190 1427.000000
0 189 1414.000000
0 188 1419.000000
0 187 1418.000000
0 186 1389.000000
0 185 1370.000000
0 184 1428.000000
0 183 1382.000000
0 182 1367.000000
0 181 1348.000000
0 180 1383.000000
0 179 1390.000000
0 178 1335.000000
0 177 1379.000000
0 176 1364.000000
0 175 1318.000000
0 174 1334.000000
0 173 1325.000000
0 172 1325.000000
0 171 1314.000000
0 170 1378.000000
0 169 1360.000000
0 168 1283.000000
0 167 1331.000000
0 166 1328.000000
0 165 1356.000000
0 164 1296.000000
0 163 1237.000000
0 162 1232.000000
0 161 1306.000000
0 160 1222.000000
0 159 1345.000000
0 158 1279.000000
0 157 1280.000000
0 156 1211.000000
0 155 1162.000000
0 154 1263.000000
0 153 1186.000000
0 152 1194.000000
0 151 1199.000000
0 150 1235.000000
0 149 1177.000000
0 148 1141.000000
0 147 1261.000000
0 146 1200.000000
0 145 1134.000000
0 144 1118.000000
0 143 1158.000000
0 142 1257.000000
0 141 1109.000000
0 140 1154.000000
0 139 1097.000000
0 138 1119.000000
0 137 1107.000000
0 136 1082.000000
0 135 1190.000000
0 134 1197.000000
0 133 1043.000000
0 132 1209.000000
0 131 1032.000000
0 130 1152.000000
0 129 1006.000000
0 128 1173.000000
0 127 1213.000000
0 126 988.000000
0 125 993.000000
0 124 990.000000
0 123 1219.000000
0 122 1209.000000
0 121 1037.000000
0 120 1129.000000
0 119 1148.000000
0 118 977.000000
0 117 1047.000000
0 116 1085.000000
0 115 1068.000000
0 114 1070.000000
0 113 897.000000
0 112 893.000000
0 111 1049.000000
0 110 827.000000
0 109 1042.000000
0 108 872.000000
0 107 997.000000
0 106 996.000000
0 105 967.000000
0 104 973.000000
0 103 796.000000
0 102 910.000000
0 101 861.000000
0 100 765.000000
0 99 988.000000
0 98 757.000000
0 97 746.000000
0 96 931.000000
0 95 914.000000
0 94 914.000000
0 93 738.000000
0 92 897.000000
0 91 911.000000
0 90 855.000000
0 89 708.000000
0 88 706.000000
0 87 876.000000
0 86 783.000000
0 85 683.000000
0 84 672.000000
0 83 910.000000
0 82 874.000000
0 81 696.000000
0 80 875.000000
0 79 736.000000
0 78 871.000000
0 77 776.000000
0 76 864.000000
0 75 730.000000
0 74 757.000000
0 73 785.000000
0 72 893.000000
0 71 745.000000
0 70 678.000000
0 69 830.000000
0 68 771.000000
0 67 854.000000
0 66 880.000000
0 65 870.000000
0 64 573.000000
0 63 824.000000
0 62 567.000000
0 61 586.000000
0 60 870.000000
0 59 782.000000
0 58 573.000000
0 57 871.000000
0 56 798.000000
0 55 876.000000
0 54 889.000000
0 53 881.000000
0 52 877.000000
0 51 878.000000
0 50 854.000000
0 49 894.000000
0 48 886.000000
0 47 875.000000
0 46 858.000000
0 45 875.000000
0 44 805.000000
0 43 879.000000
0 42 866.000000
0 41 883.000000
0 40 871.000000
0 39 859.000000
0 38 846.000000
0 37 867.000000
0 36 826.000000
0 35 534.000000
0 34 874.000000
0 33 850.000000
0 32 755.000000
0 31 871.000000
0 30 859.000000
0 29 878.000000
0 28 787.000000
0 27 768.000000
0 26 816.000000
0 25 691.000000
0 24 606.000000
0 23 691.000000
0 22 581.000000
0 21 774.000000
0 20 712.000000
0 19 466.000000
0 18 906.000000
0 17 721.000000
0 16 604.000000
0 15 487.000000
0 14 874.000000
0 13 562.000000
0 12 522.000000
0 11 805.000000
0 10 531.000000
0 9 768.000000
0 8 762.000000
0 7 398.000000
0 6 518.000000
0 5 329.000000
0 4 750.000000
0 3 369.000000
0 2 560.000000
0 1 372.000000
1 193 1395.000000
1 192 1377.000000
1 191 1374.000000
1 190 1364.000000
1 189 1365.000000
1 188 1357.000000
1 187 1349.000000
1 186 1341.000000
1 185 1326.000000
1 184 1327.000000
1 183 1318.000000
1 182 1318.000000
1 181 1322.000000
1 180 1309.000000
1 179 1300.000000
1 178 1293.000000
1 177 1294.000000
1 176 1291.000000
1 175 1299.000000
1 174 1274.000000
1 173 1275.000000
1 172 1275.000000
1 171 1278.000000
1 170 1272.000000
1 169 1263.000000
1 168 1256.000000
1 167 1244.000000
1 166 1230.000000
1 165 1238.000000
1 164 1209.000000
1 163 1204.000000
1 162 1206.000000
1 161 1200.000000
1 160 1199.000000
1 159 1210.000000
1 158 1182.000000
1 157 1176.000000
1 156 1145.000000
1 155 1160.000000
1 154 1142.000000
1 153 1124.000000
1 152 1121.000000
1 151 1114.000000
1 150 1122.000000
1 149 1108.000000
1 148 1117.000000
1 147 1122.000000
1 146 1102.000000
1 145 1105.000000
1 144 1105.000000
1 143 1088.000000
1 142 1109.000000
1 141 1083.000000
1 140 1071.000000
1 139 1080.000000
1 138 1066.000000
1 137 1060.000000
1 136 1060.000000
1 135 1053.000000
1 134 1047.000000
1 133 1034.000000
1 132 1049.000000
1 131 1024.000000
1 130 1016.000000
1 129 1034.000000
1 128 1020.000000
1 127 1031.000000
1 126 986.000000
1 125 970.000000
1 124 971.000000
1 123 1022.000000
1 122 1013.000000
1 121 938.000000
1 120 962.000000
1 119 970.000000
1 118 908.000000
1 117 905.000000
1 116 918.000000
1 115 897.000000
1 114 891.000000
1 113 858.000000
1 112 828.000000
1 111 860.000000
1 110 847.000000
1 109 852.000000
1 108 803.000000
1 107 821.000000
1 106 820.000000
1 105 806.000000
1 104 804.000000
1 103 809.000000
1 102 778.000000
1 101 752.000000
1 100 777.000000
1 99 787.000000
1 98 776.000000
1 97 821.000000
1 96 757.000000
1 95 749.000000
1 94 744.000000
1 93 771.000000
1 92 734.000000
1 91 734.000000
1 90 708.000000
1 89 749.000000
1 88 730.000000
1 87 701.000000
1 86 674.000000
1 85 794.000000
1 84 781.000000
1 83 702.000000
1 82 685.000000
1 81 660.000000
1 80 675.000000
1 79 641.000000
1 78 671.000000
1 77 624.000000
1 76 655.000000
1 75 609.000000
1 74 608.000000
1 73 612.000000
1 72 653.000000
1 71 587.000000
1 70 581.000000
1 69 616.000000
1 68 584.000000
1 67 622.000000
1 66 636.000000
1 65 629.000000
1 64 713.000000
1 63 600.000000
1 62 644.000000
1 61 591.000000
1 60 622.000000
1 59 571.000000
1 58 579.000000
1 57 616.000000
1 56 573.000000
1 55 618.000000
1 54 626.000000
1 53 620.000000
1 52 617.000000
1 51 617.000000
1 50 602.000000
1 49 627.000000
1 48 622.000000
1 47 615.000000
1 46 602.000000
1 45 614.000000
1 44 570.000000
1 43 615.000000
1 42 606.000000
1 41 617.000000
1 40 608.000000
1 39 599.000000
1 38 590.000000
1 37 603.000000
1 36 575.000000
1 35 562.000000
1 34 606.000000
1 33 589.000000
1 32 531.000000
1 31 599.000000
1 30 591.000000
1 29 603.000000
1 28 540.000000
1 27 530.000000
1 26 554.000000
1 25 491.000000
1 24 475.000000
1 23 489.000000
1 22 466.000000
1 21 522.000000
1 20 485.000000
1 19 609.000000
1 18 608.000000
1 17 487.000000
1 16 418.000000
1 15 428.000000
1 14 568.000000
1 13 403.000000
1 12 402.000000
1 11 509.000000
1 10 363.000000
1 9 463.000000
1 8 457.000000
1 7 336.000000
1 6 279.000000
1 5 304.000000
1 4 412.000000
1 3 150.000000
1 2 195.000000
2 193 1353.000000
2 192 1309.000000
2 191 1318.000000
2 190 1307.000000
2 189 1315.000000
2 188 1301.000000
2 187 1289.000000
2 186 1293.000000
2 185 1280.000000
2 184 1251.000000
2 183 1261.000000
2 182 1270.000000
2 181 1285.000000
2 180 1247.000000
2 179 1230.000000
2 178 1250.000000
2 177 1226.000000
2 176 1231.000000
2 175 1267.000000
2 174 1221.000000
2 173 1228.000000
2 172 1227.000000
2 171 1237.000000
2 170 1194.000000
2 169 1191.000000
2 168 1221.000000
2 167 1177.000000
2 166 1158.000000
2 165 1156.000000
2 164 1144.000000
2 163 1169.000000
2 162 1174.000000
2 161 1125.000000
2 160 1169.000000
2 159 1119.000000
2 158 1113.000000
2 157 1102.000000
2 156 1094.000000
2 155 1143.000000
2 154 1060.000000
2 153 1076.000000
2 152 1067.000000
2 151 1054.000000
2 150 1045.000000
2 149 1057.000000
2 148 1089.000000
2 147 1031.000000
2 146 1034.000000
2 145 1075.000000
2 144 1084.000000
2 143 1037.000000
2 142 1014.000000
2 141 1056.000000
2 140 1013.000000
2 139 1059.000000
2 138 1025.000000
2 137 1023.000000
2 136 1036.000000
2 135 966.000000
2 134 953.000000
2 133 1018.000000
2 132 949.000000
2 131 1010.000000
2 130 931.000000
2 129 1039.000000
2 128 925.000000
2 127 920.000000
2 126 977.000000
2 125 951.000000
2 124 953.000000
2 123 902.000000
2 122 894.000000
2 121 879.000000
2 120 862.000000
2 119 863.000000
2 118 868.000000
2 117 823.000000
2 116 820.000000
2 115 797.000000
2 114 787.000000
2 113 838.000000
2 112 796.000000
2 111 753.000000
2 110 859.000000
2 109 745.000000
2 108 770.000000
2 107 723.000000
2 106 723.000000
2 105 718.000000
2 104 711.000000
2 103 820.000000
2 102 710.000000
2 101 700.000000
2 100 790.000000
2 99 676.000000
2 98 793.000000
2 97 863.000000
2 96 665.000000
2 95 663.000000
2 94 656.000000
2 93 796.000000
2 92 651.000000
2 91 642.000000
2 90 636.000000
2 89 781.000000
2 88 755.000000
2 87 613.000000
2 86 630.000000
2 85 856.000000
2 84 843.000000
2 83 593.000000
2 82 589.000000
2 81 661.000000
2 80 573.000000
2 79 610.000000
2 78 570.000000
2 77 559.000000
2 76 548.000000
2 75 566.000000
2 74 548.000000
2 73 535.000000
2 72 526.000000
2 71 523.000000
2 70 557.000000
2 69 511.000000
2 68 501.000000
2 67 503.000000
2 66 508.000000
2 65 503.000000
2 64 796.000000
2 63 490.000000
2 62 705.000000
2 61 623.000000
2 60 492.000000
2 59 473.000000
2 58 613.000000
2 57 482.000000
2 56 465.000000
2 55 482.000000
2 54 485.000000
2 53 481.000000
2 52 479.000000
2 51 479.000000
2 50 471.000000
2 49 484.000000
2 48 481.000000
2 47 476.000000
2 46 469.000000
2 45 475.000000
2 44 454.000000
2 43 474.000000
2 42 469.000000
2 41 475.000000
2 40 469.000000
2 39 461.000000
2 38 457.000000
2 37 464.000000
2 36 448.000000
2 35 611.000000
2 34 463.000000
2 33 453.000000
2 32 429.000000
2 31 453.000000
2 30 449.000000
2 29 455.000000
2 28 419.000000
2 27 416.000000
2 26 420.000000
2 25 413.000000
2 24 449.000000
2 23 410.000000
2 22 453.000000
2 21 400.000000
2 20 387.000000
2 19 703.000000
2 18 444.000000
2 17 383.000000
2 16 368.000000
2 15 460.000000
2 14 401.000000
2 13 377.000000
2 12 403.000000
2 11 353.000000
2 10 343.000000
2 9 303.000000
2 8 298.000000
2 7 398.000000
2 6 236.000000
2 5 399.000000
2 4 228.000000
2 3 232.000000
3 193 1247.000000
3 192 1235.000000
3 191 1229.000000
3 190 1220.000000
3 189 1219.000000
3 188 1212.000000
3 187 1205.000000
3 186 1195.000000
3 185 1179.000000
3 184 1188.000000
3 183 1173.000000
3 182 1172.000000
3 181 1173.000000
3 180 1165.000000
3 179 1159.000000
3 178 1146.000000
3 177 1152.000000
3 176 1148.000000
3 175 1150.000000
3 174 1129.000000
3 173 1129.000000
3 172 1128.000000
3 171 1130.000000
3 170 1133.000000
3 169 1123.000000
3 168 1107.000000
3 167 1102.000000
3 166 1089.000000
3 165 1102.000000
3 164 1067.000000
3 163 1056.000000
3 162 1058.000000
3 161 1061.000000
3 160 1051.000000
3 159 1077.000000
3 158 1042.000000
3 157 1036.000000
3 156 1000.000000
3 155 1010.000000
3 154 1006.000000
3 153 978.000000
3 152 977.000000
3 151 971.000000
3 150 984.000000
3 149 963.000000
3 148 968.000000
3 147 989.000000
3 146 961.000000
3 145 956.000000
3 144 956.000000
3 143 943.000000
3 142 978.000000
3 141 934.000000
3 140 927.000000
3 139 931.000000
3 138 919.000000
3 137 913.000000
3 136 911.000000
3 135 919.000000
3 134 916.000000
3 133 884.000000
3 132 920.000000
3 131 874.000000
3 130 881.000000
3 129 884.000000
3 128 889.000000
3 127 910.000000
3 126 836.000000
3 125 821.000000
3 124 821.000000
3 123 905.000000
3 122 895.000000
3 121 796.000000
3 120 835.000000
3 119 846.000000
3 118 762.000000
3 117 771.000000
3 116 790.000000
3 115 770.000000
3 114 767.000000
3 113 709.000000
3 112 681.000000
3 111 739.000000
3 110 697.000000
3 109 731.000000
3 108 656.000000
3 107 695.000000
3 106 694.000000
3 105 675.000000
3 104 675.000000
3 103 659.000000
3 102 640.000000
3 101 609.000000
3 100 627.000000
3 99 669.000000
3 98 626.000000
3 97 675.000000
3 96 629.000000
3 95 618.000000
3 94 615.000000
3 93 622.000000
3 92 603.000000
3 91 607.000000
3 90 572.000000
3 89 601.000000
3 88 581.000000
3 87 573.000000
3 86 530.000000
3 85 653.000000
3 84 640.000000
3 83 585.000000
3 82 561.000000
3 81 510.000000
3 80 555.000000
3 79 495.000000
3 78 551.000000
3 77 488.000000
3 76 537.000000
3 75 467.000000
3 74 471.000000
3 73 481.000000
3 72 549.000000
3 71 451.000000
3 70 434.000000
3 69 500.000000
3 68 457.000000
3 67 513.000000
3 66 534.000000
3 65 525.000000
3 64 580.000000
3 63 488.000000
3 62 502.000000
3 61 442.000000
3 60 522.000000
3 59 453.000000
3 58 430.000000
3 57 519.000000
3 56 460.000000
3 55 523.000000
3 54 534.000000
3 53 527.000000
3 52 523.000000
3 51 524.000000
3 50 504.000000
3 49 537.000000
3 48 530.000000
3 47 521.000000
3 46 505.000000
3 45 521.000000
3 44 462.000000
3 43 523.000000
3 42 512.000000
3 41 527.000000
3 40 516.000000
3 39 505.000000
3 38 493.000000
3 37 511.000000
3 36 475.000000
3 35 416.000000
3 34 517.000000
3 33 495.000000
3 32 417.000000
3 31 512.000000
3 30 501.000000
3 29 518.000000
3 28 437.000000
3 27 423.000000
3 26 460.000000
3 25 365.000000
3 24 330.000000
3 23 365.000000
3 22 319.000000
3 21 422.000000
3 20 371.000000
3 19 480.000000
3 18 539.000000
3 17 376.000000
3 16 285.000000
3 15 278.000000
3 14 505.000000
3 13 261.000000
3 12 254.000000
3 11 438.000000
3 10 221.000000
3 9 399.000000
3 8 393.000000
3 7 190.000000
3 6 161.000000
3 5 171.000000
3 4 384.000000
4 193 1235.000000
4 192 1164.000000
4 191 1184.000000
4 190 1173.000000
4 189 1189.000000
4 188 1168.000000
4 187 1152.000000
4 186 1169.000000
4 185 1159.000000
4 184 1098.000000
4 183 1129.000000
4 182 1146.000000
4 181 1174.000000
4 180 1109.000000
4 179 1084.000000
4 178 1132.000000
4 177 1083.000000
4 176 1095.000000
4 175 1162.000000
4 174 1094.000000
4 173 1106.000000
4 172 1105.000000
4 171 1123.000000
4 170 1041.000000
4 169 1043.000000
4 168 1114.000000
4 167 1035.000000
4 166 1011.000000
4 165 998.000000
4 164 1006.000000
4 163 1062.000000
4 162 1071.000000
4 161 976.000000
4 160 1068.000000
4 159 953.000000
4 158 970.000000
4 157 955.000000
4 156 972.000000
4 155 1057.000000
4 154 906.000000
4 153 958.000000
4 152 943.000000
4 151 923.000000
4 150 897.000000
4 149 936.000000
4 148 995.000000
4 147 868.000000
4 146 896.000000
4 145 978.000000
4 144 997.000000
4 143 918.000000
4 142 847.000000
4 141 963.000000
4 140 887.000000
4 139 972.000000
4 138 917.000000
4 137 919.000000
4 136 947.000000
4 135 809.000000
4 134 789.000000
4 133 940.000000
4 132 778.000000
4 131 933.000000
4 130 777.000000
4 129 982.000000
4 128 761.000000
4 127 738.000000
4 126 908.000000
4 125 872.000000
4 124 876.000000
4 123 713.000000
4 122 705.000000
4 121 756.000000
4 120 694.000000
4 119 689.000000
4 118 768.000000
4 117 677.000000
4 116 657.000000
4 115 633.000000
4 114 618.000000
4 113 764.000000
4 112 710.000000
4 111 581.000000
4 110 821.000000
4 109 574.000000
4 108 686.000000
4 107 565.000000
4 106 565.000000
4 105 572.000000
4 104 560.000000
4 103 784.000000
4 102 588.000000
4 101 598.000000
4 100 760.000000
4 99 505.000000
4 98 767.000000
4 97 861.000000
4 96 517.000000
4 95 524.000000
4 94 514.000000
4 93 778.000000
4 92 516.000000
4 91 497.000000
4 90 518.000000
4 89 772.000000
4 88 741.000000
4 87 476.000000
4 86 547.000000
4 85 877.000000
4 84 865.000000
4 83 430.000000
4 82 445.000000
4 81 627.000000
4 80 422.000000
4 79 544.000000
4 78 420.000000
4 77 458.000000
4 76 394.000000
4 75 492.000000
4 74 454.000000
4 73 421.000000
4 72 348.000000
4 71 428.000000
4 70 508.000000
4 69 363.000000
4 68 385.000000
4 67 338.000000
4 66 328.000000
4 65 328.000000
4 64 845.000000
4 63 337.000000
4 62 737.000000
4 61 630.000000
4 60 313.000000
4 59 341.000000
4 58 625.000000
4 57 297.000000
4 56 320.000000
4 55 295.000000
4 54 291.000000
4 53 291.000000
4 52 290.000000
4 51 290.000000
4 50 293.000000
4 49 288.000000
4 48 287.000000
4 47 287.000000
4 46 287.000000
4 45 285.000000
4 44 301.000000
4 43 282.000000
4 42 283.000000
4 41 281.000000
4 40 280.000000
4 39 275.000000
4 38 278.000000
4 37 274.000000
4 36 278.000000
4 35 639.000000
4 34 269.000000
4 33 269.000000
4 32 300.000000
4 31 257.000000
4 30 258.000000
4 29 256.000000
4 28 265.000000
4 27 274.000000
4 26 245.000000
4 25 324.000000
4 24 419.000000
4 23 320.000000
4 22 438.000000
4 21 247.000000
4 20 276.000000
4 19 773.000000
4 18 226.000000
4 17 264.000000
4 16 331.000000
4 15 493.000000
4 14 181.000000
4 13 367.000000
4 12 418.000000
4 11 155.000000
4 10 353.000000
4 9 110.000000
4 8 108.000000
4 7 476.000000
4 6 275.000000
4 5 509.000000
5 193 1142.000000
5 192 1153.000000
5 191 1137.000000
5 190 1128.000000
5 189 1121.000000
5 188 1120.000000
5 187 1117.000000
5 186 1096.000000
5 185 1079.000000
5 184 1115.000000
5 183 1082.000000
5 182 1074.000000
5 181 1065.000000
5 180 1079.000000
5 179 1081.000000
5 178 1045.000000
5 177 1071.000000
5 176 1061.000000
5 175 1039.000000
5 174 1036.000000
5 173 1031.000000
5 172 1031.000000
5 171 1026.000000
5 170 1063.000000
5 169 1048.000000
5 168 999.000000
5 167 1022.000000
5 166 1015.000000
5 165 1037.000000
5 164 987.000000
5 163 950.000000
5 162 948.000000
5 161 991.000000
5 160 940.000000
5 159 1023.000000
5 158 967.000000
5 157 965.000000
5 156 908.000000
5 155 890.000000
5 154 944.000000
5 153 885.000000
5 152 889.000000
5 151 889.000000
5 150 917.000000
5 149 873.000000
5 148 857.000000
5 147 937.000000
5 146 886.000000
5 145 847.000000
5 144 840.000000
5 143 854.000000
5 142 932.000000
5 141 823.000000
5 140 845.000000
5 139 816.000000
5 138 821.000000
5 137 812.000000
5 136 798.000000
5 135 866.000000
5 134 871.000000
5 133 766.000000
5 132 882.000000
5 131 755.000000
5 130 828.000000
5 129 751.000000
5 128 846.000000
5 127 885.000000
5 126 713.000000
5 125 707.000000
5 124 706.000000
5 123 890.000000
5 122 880.000000
5 121 720.000000
5 120 801.000000
5 119 819.000000
5 118 670.000000
5 117 721.000000
5 116 756.000000
5 115 739.000000
5 114 741.000000
5 113 601.000000
5 112 586.000000
5 111 720.000000
5 110 563.000000
5 109 713.000000
5 108 563.000000
5 107 668.000000
5 106 667.000000
5 105 638.000000
5 104 644.000000
5 103 527.000000
5 102 585.000000
5 101 540.000000
5 100 494.000000
5 99 660.000000
5 98 490.000000
5 97 521.000000
5 96 602.000000
5 95 585.000000
5 94 585.000000
5 93 481.000000
5 92 568.000000
5 91 582.000000
5 90 527.000000
5 89 455.000000
5 88 441.000000
5 87 547.000000
5 86 460.000000
5 85 490.000000
5 84 477.000000
5 83 583.000000
5 82 546.000000
5 81 396.000000
5 80 548.000000
5 79 415.000000
5 78 544.000000
5 77 447.000000
5 76 539.000000
5 75 404.000000
5 74 428.000000
5 73 456.000000
5 72 573.000000
5 71 416.000000
5 70 355.000000
5 69 505.000000
5 68 443.000000
5 67 533.000000
5 66 563.000000
5 65 551.000000
5 64 410.000000
5 63 502.000000
5 62 341.000000
5 61 304.000000
5 60 554.000000
5 59 458.000000
5 58 291.000000
5 57 558.000000
5 56 477.000000
5 55 563.000000
5 54 578.000000
5 53 570.000000
5 52 566.000000
5 51 566.000000
5 50 540.000000
5 49 584.000000
5 48 576.000000
5 47 564.000000
5 46 545.000000
5 45 564.000000
5 44 487.000000
5 43 569.000000
5 42 555.000000
5 41 574.000000
5 40 561.000000
5 39 549.000000
5 38 534.000000
5 37 557.000000
5 36 512.000000
5 35 266.000000
5 34 566.000000
5 33 540.000000
5 32 436.000000
5 31 565.000000
5 30 552.000000
5 29 573.000000
5 28 474.000000
5 27 453.000000
5 26 508.000000
5 25 367.000000
5 24 277.000000
5 23 369.000000
5 22 253.000000
5 21 464.000000
5 20 396.000000
5 19 309.000000
5 18 613.000000
5 17 407.000000
5 16 282.000000
5 15 165.000000
5 14 589.000000
5 13 236.000000
5 12 193.000000
5 11 517.000000
5 10 211.000000
5 9 491.000000
5 8 485.000000
5 7 69.000000
5 6 236.000000
6 193 1131.000000
6 192 1102.000000
6 191 1104.000000
6 190 1094.000000
6 189 1097.000000
